program,model,filter,plus,minus,AD,AD train,AD test,best train,predicted,best test,fold,dwc
Asterisk,c,0.00,3,2,0.024,0.021,0.034,0.236,0.000,0.000,4,8
Asterisk,c,0.00,3,4,0.024,0.025,0.017,0.254,0.000,0.000,0,9
Asterisk,c,0.00,3,4,0.024,0.023,0.027,0.280,0.000,0.000,1,10
Asterisk,c,0.00,3,4,0.024,0.022,0.031,0.263,0.000,0.000,2,9
Asterisk,c,0.00,3,4,0.024,0.027,0.010,0.263,0.000,0.000,3,11
Asterisk,c,0.00,3,4,0.024,0.021,0.034,0.205,0.000,0.000,4,7
Asterisk,c,0.00,4,1,0.024,0.025,0.017,0.503,0.000,0.000,0,21
Asterisk,c,0.00,4,1,0.024,0.023,0.027,0.505,0.000,0.000,1,24
Asterisk,c,0.00,4,1,0.024,0.022,0.031,0.421,0.000,0.000,2,17
Asterisk,c,0.00,4,1,0.024,0.027,0.010,0.486,0.000,0.000,3,24
Asterisk,c,0.00,4,1,0.024,0.021,0.034,0.380,0.000,0.000,4,13
Asterisk,c,0.00,5,1,0.024,0.025,0.017,0.503,0.000,0.000,0,23
Asterisk,c,0.00,5,1,0.024,0.023,0.027,0.513,0.000,0.000,1,26
Asterisk,c,0.00,5,1,0.024,0.022,0.031,0.470,0.000,0.000,2,22
Asterisk,c,0.00,5,1,0.024,0.027,0.010,0.484,0.000,0.000,3,25
Asterisk,c,0.00,5,1,0.024,0.021,0.034,0.401,0.000,0.000,4,16
Asterisk,c,0.00,5,2,0.024,0.025,0.017,0.366,0.000,0.000,0,15
Asterisk,c,0.00,5,2,0.024,0.023,0.027,0.387,0.000,0.000,1,15
Asterisk,c,0.00,5,2,0.024,0.022,0.031,0.366,0.000,0.000,2,14
Asterisk,c,0.00,5,2,0.024,0.027,0.010,0.371,0.000,0.000,3,17
Asterisk,c,0.00,5,2,0.024,0.021,0.034,0.294,0.000,0.000,4,10
Asterisk,c,0.00,7,2,0.024,0.025,0.017,0.419,0.000,0.000,0,18
Asterisk,c,0.00,7,2,0.024,0.023,0.027,0.466,0.000,0.000,1,20
Asterisk,c,0.00,7,2,0.024,0.022,0.031,0.387,0.000,0.000,2,15
Asterisk,c,0.00,7,2,0.024,0.027,0.010,0.430,0.000,0.000,3,21
Asterisk,c,0.00,7,2,0.024,0.021,0.034,0.321,0.000,0.000,4,11
Asterisk,c,0.00,7,4,0.024,0.025,0.017,0.302,0.000,0.000,0,12
Asterisk,c,0.00,7,4,0.024,0.023,0.027,0.333,0.000,0.000,1,12
Asterisk,c,0.00,7,4,0.024,0.022,0.031,0.292,0.000,0.000,2,11
Asterisk,c,0.00,7,4,0.024,0.027,0.010,0.309,0.000,0.000,3,13
Asterisk,c,0.00,7,4,0.024,0.021,0.034,0.236,0.000,0.000,4,8
Asterisk,c,0.00,9,4,0.024,0.025,0.017,0.366,0.000,0.000,0,15
Asterisk,c,0.00,9,4,0.024,0.023,0.027,0.387,0.000,0.000,1,15
Asterisk,c,0.00,9,4,0.024,0.022,0.031,0.366,0.000,0.000,2,14
Asterisk,c,0.00,9,4,0.024,0.027,0.010,0.371,0.000,0.000,3,17
Asterisk,c,0.00,9,4,0.024,0.021,0.034,0.294,0.000,0.000,4,10
VDISC,c,-999,1,1,0.280,0.280,0.281,0.280,0.276,0.276,0,130076
VDISC,c,-999,1,1,0.280,0.280,0.279,0.280,0.274,0.274,1,129989
VDISC,c,-999,1,1,0.280,0.280,0.280,0.280,0.275,0.275,2,129892
VDISC,c,-999,1,1,0.280,0.280,0.282,0.280,0.276,0.276,3,129864
VDISC,c,-999,1,1,0.280,0.281,0.279,0.281,0.273,0.273,4,130008
VDISC,c,-999,1,10,0.280,0.280,0.281,0.280,0.276,0.276,0,130076
VDISC,c,-999,1,10,0.280,0.280,0.279,0.280,0.274,0.274,1,129989
VDISC,c,-999,1,10,0.280,0.280,0.280,0.280,0.275,0.275,2,129892
VDISC,c,-999,1,10,0.280,0.280,0.282,0.280,0.276,0.276,3,129864
VDISC,c,-999,1,10,0.280,0.281,0.279,0.281,0.273,0.273,4,130008
VDISC,c,-999,1,100,0.280,0.280,0.281,0.280,0.276,0.276,0,130076
VDISC,c,-999,1,100,0.280,0.280,0.279,0.280,0.274,0.274,1,129989
VDISC,c,-999,1,100,0.280,0.280,0.280,0.280,0.275,0.275,2,129892
VDISC,c,-999,1,100,0.280,0.280,0.282,0.280,0.276,0.276,3,129864
VDISC,c,-999,1,100,0.280,0.281,0.279,0.281,0.273,0.273,4,130008
VDISC,c,-999,1,1000,0.280,0.280,0.281,0.280,0.276,0.276,0,130076
VDISC,c,-999,1,1000,0.280,0.280,0.279,0.280,0.274,0.274,1,129989
VDISC,c,-999,1,1000,0.280,0.280,0.280,0.280,0.275,0.275,2,129892
VDISC,c,-999,1,1000,0.280,0.280,0.282,0.280,0.276,0.276,3,129864
VDISC,c,-999,1,1000,0.280,0.281,0.279,0.281,0.273,0.273,4,130008
VDISC,c,-999,1,2,0.280,0.280,0.281,0.280,0.276,0.276,0,130076
VDISC,c,-999,1,2,0.280,0.280,0.279,0.280,0.274,0.274,1,129989
VDISC,c,-999,1,2,0.280,0.280,0.280,0.280,0.275,0.275,2,129892
VDISC,c,-999,1,2,0.280,0.280,0.282,0.280,0.276,0.276,3,129864
VDISC,c,-999,1,2,0.280,0.281,0.279,0.281,0.273,0.273,4,130008
VDISC,c,-999,1,3,0.280,0.280,0.281,0.280,0.276,0.276,0,130076
VDISC,c,-999,1,3,0.280,0.280,0.279,0.280,0.274,0.274,1,129989
VDISC,c,-999,1,3,0.280,0.280,0.280,0.280,0.275,0.275,2,129892
VDISC,c,-999,1,3,0.280,0.280,0.282,0.280,0.276,0.276,3,129864
VDISC,c,-999,1,3,0.280,0.281,0.279,0.281,0.273,0.273,4,130008
VDISC,c,-999,10,1,0.280,0.280,0.281,0.419,0.325,0.326,0,130076
VDISC,c,-999,10,1,0.280,0.280,0.279,0.419,0.309,0.328,1,129989
VDISC,c,-999,10,1,0.280,0.280,0.280,0.417,0.308,0.333,2,129892
VDISC,c,-999,10,1,0.280,0.280,0.282,0.417,0.310,0.335,3,129864
VDISC,c,-999,10,1,0.280,0.281,0.279,0.419,0.305,0.329,4,130008
VDISC,c,-999,100,1,0.280,0.280,0.281,0.398,0.301,0.301,0,130076
VDISC,c,-999,100,1,0.280,0.280,0.279,0.398,0.297,0.298,1,129989
VDISC,c,-999,100,1,0.280,0.280,0.280,0.397,0.299,0.299,2,129892
VDISC,c,-999,100,1,0.280,0.280,0.282,0.398,0.299,0.300,3,129864
VDISC,c,-999,100,1,0.280,0.281,0.279,0.398,0.298,0.299,4,130008
VDISC,c,-999,1000,1,0.280,0.280,0.281,0.390,0.296,0.297,0,130076
VDISC,c,-999,1000,1,0.280,0.280,0.279,0.390,0.293,0.293,1,129989
VDISC,c,-999,1000,1,0.280,0.280,0.280,0.390,0.294,0.294,2,129892
VDISC,c,-999,1000,1,0.280,0.280,0.282,0.390,0.294,0.295,3,129864
VDISC,c,-999,1000,1,0.280,0.281,0.279,0.390,0.293,0.294,4,130008
VDISC,c,-999,11,4,0.280,0.280,0.281,0.332,0.136,0.276,0,130076
VDISC,c,-999,11,4,0.280,0.280,0.279,0.330,0.139,0.274,1,129989
VDISC,c,-999,11,4,0.280,0.280,0.280,0.328,0.145,0.275,2,129892
VDISC,c,-999,11,4,0.280,0.280,0.282,0.328,0.139,0.276,3,129864
VDISC,c,-999,11,4,0.280,0.281,0.279,0.330,0.142,0.273,4,130008
VDISC,c,-999,2,1,0.280,0.280,0.281,0.292,0.106,0.276,0,130076
VDISC,c,-999,2,1,0.280,0.280,0.279,0.289,0.111,0.274,1,129989
VDISC,c,-999,2,1,0.280,0.280,0.280,0.288,0.113,0.275,2,129892
VDISC,c,-999,2,1,0.280,0.280,0.282,0.290,0.113,0.276,3,129864
VDISC,c,-999,2,1,0.280,0.281,0.279,0.291,0.113,0.273,4,130008
VDISC,c,-999,3,1,0.280,0.280,0.281,0.339,0.147,0.276,0,130076
VDISC,c,-999,3,1,0.280,0.280,0.279,0.335,0.145,0.274,1,129989
VDISC,c,-999,3,1,0.280,0.280,0.280,0.334,0.153,0.275,2,129892
VDISC,c,-999,3,1,0.280,0.280,0.282,0.335,0.150,0.276,3,129864
VDISC,c,-999,3,1,0.280,0.281,0.279,0.336,0.152,0.273,4,130008
VDISC,c,-999,3,2,0.280,0.280,0.281,0.280,0.276,0.276,0,130076
VDISC,c,-999,3,2,0.280,0.280,0.279,0.280,0.274,0.274,1,129989
VDISC,c,-999,3,2,0.280,0.280,0.280,0.280,0.275,0.275,2,129892
VDISC,c,-999,3,2,0.280,0.280,0.282,0.280,0.276,0.276,3,129864
VDISC,c,-999,3,2,0.280,0.281,0.279,0.281,0.273,0.273,4,130008
VDISC,c,-999,3,4,0.280,0.280,0.281,0.280,0.276,0.276,0,130076
VDISC,c,-999,3,4,0.280,0.280,0.279,0.280,0.274,0.274,1,129989
VDISC,c,-999,3,4,0.280,0.280,0.280,0.280,0.275,0.275,2,129892
VDISC,c,-999,3,4,0.280,0.280,0.282,0.280,0.276,0.276,3,129864
VDISC,c,-999,3,4,0.280,0.281,0.279,0.281,0.273,0.273,4,130008
VDISC,c,-999,4,1,0.280,0.280,0.281,0.371,0.181,0.276,0,130076
VDISC,c,-999,4,1,0.280,0.280,0.279,0.370,0.186,0.274,1,129989
VDISC,c,-999,4,1,0.280,0.280,0.280,0.372,0.193,0.275,2,129892
VDISC,c,-999,4,1,0.280,0.280,0.282,0.367,0.186,0.276,3,129864
VDISC,c,-999,4,1,0.280,0.281,0.279,0.371,0.186,0.273,4,130008
VDISC,c,-999,5,1,0.280,0.280,0.281,0.395,0.212,0.276,0,130076
VDISC,c,-999,5,1,0.280,0.280,0.279,0.395,0.219,0.274,1,129989
VDISC,c,-999,5,1,0.280,0.280,0.280,0.395,0.221,0.275,2,129892
VDISC,c,-999,5,1,0.280,0.280,0.282,0.393,0.221,0.276,3,129864
VDISC,c,-999,5,1,0.280,0.281,0.279,0.397,0.219,0.273,4,130008
VDISC,c,-999,5,2,0.280,0.280,0.281,0.319,0.125,0.276,0,130076
VDISC,c,-999,5,2,0.280,0.280,0.279,0.321,0.130,0.274,1,129989
VDISC,c,-999,5,2,0.280,0.280,0.280,0.316,0.132,0.275,2,129892
VDISC,c,-999,5,2,0.280,0.280,0.282,0.317,0.128,0.276,3,129864
VDISC,c,-999,5,2,0.280,0.281,0.279,0.319,0.133,0.273,4,130008
VDISC,c,-999,7,2,0.280,0.280,0.281,0.359,0.164,0.276,0,130076
VDISC,c,-999,7,2,0.280,0.280,0.279,0.355,0.165,0.274,1,129989
VDISC,c,-999,7,2,0.280,0.280,0.280,0.357,0.174,0.275,2,129892
VDISC,c,-999,7,2,0.280,0.280,0.282,0.354,0.169,0.276,3,129864
VDISC,c,-999,7,2,0.280,0.281,0.279,0.357,0.169,0.273,4,130008
VDISC,c,-999,7,4,0.280,0.280,0.281,0.284,0.095,0.276,0,130076
VDISC,c,-999,7,4,0.280,0.280,0.279,0.282,0.098,0.274,1,129989
VDISC,c,-999,7,4,0.280,0.280,0.280,0.280,0.275,0.275,2,129892
VDISC,c,-999,7,4,0.280,0.280,0.282,0.280,0.276,0.276,3,129864
VDISC,c,-999,7,4,0.280,0.281,0.279,0.283,0.100,0.273,4,130008
VDISC,c,-999,9,4,0.280,0.280,0.281,0.312,0.119,0.276,0,130076
VDISC,c,-999,9,4,0.280,0.280,0.279,0.313,0.124,0.274,1,129989
VDISC,c,-999,9,4,0.280,0.280,0.280,0.308,0.125,0.275,2,129892
VDISC,c,-999,9,4,0.280,0.280,0.282,0.310,0.121,0.276,3,129864
VDISC,c,-999,9,4,0.280,0.281,0.279,0.312,0.125,0.273,4,130008
VDISC,c,0.00,1,1,0.280,0.280,0.281,0.227,0.057,0.057,0,9292
VDISC,c,0.00,1,1,0.280,0.280,0.279,0.226,0.059,0.059,1,9211
VDISC,c,0.00,1,1,0.280,0.280,0.280,0.224,0.061,0.061,2,9199
VDISC,c,0.00,1,1,0.280,0.280,0.282,0.225,0.060,0.060,3,9199
VDISC,c,0.00,1,1,0.280,0.281,0.279,0.228,0.061,0.061,4,9290
VDISC,c,0.00,1,10,0.280,0.280,0.281,0.148,0.019,0.019,0,6677
VDISC,c,0.00,1,10,0.280,0.280,0.279,0.148,0.019,0.019,1,6644
VDISC,c,0.00,1,10,0.280,0.280,0.280,0.147,0.023,0.023,2,6634
VDISC,c,0.00,1,10,0.280,0.280,0.282,0.148,0.021,0.021,3,6641
VDISC,c,0.00,1,10,0.280,0.281,0.279,0.148,0.021,0.021,4,6656
VDISC,c,0.00,1,100,0.280,0.280,0.281,0.148,0.019,0.019,0,6676
VDISC,c,0.00,1,100,0.280,0.280,0.279,0.148,0.019,0.019,1,6643
VDISC,c,0.00,1,100,0.280,0.280,0.280,0.146,0.022,0.022,2,6633
VDISC,c,0.00,1,100,0.280,0.280,0.282,0.148,0.021,0.021,3,6641
VDISC,c,0.00,1,100,0.280,0.281,0.279,0.148,0.021,0.021,4,6656
VDISC,c,0.00,1,1000,0.280,0.280,0.281,0.148,0.019,0.019,0,6676
